 ,ID1,ID2,Inner,Outer,e,Angle
1,1,2,44.452,249.717,-84.889,20.942
2,1,3,9.891,301.746,-96.826,64.910
3,2,3,27.048,264.562,-90.725,-64.373
4,2,38,28.792,238.177,-89.215,-7.974
5,3,4,35.800,277.779,-88.583,-168.833
6,4,33,3.759,279.289,-98.672,-30.917
7,4,38,2.313,302.917,-99.242,-63.375
8,5,7,47.668,326.503,-87.260,-114.192
9,5,17,67.686,381.731,-84.939,49.855
10,5,18,14.908,344.108,-95.848,-0.283
11,8,9,21.255,284.733,-93.054,6.348
12,8,32,10.698,305.518,-96.617,-66.878
13,8,33,20.423,259.480,-92.704,-130.212
14,9,10,14.431,211.276,-93.606,4.390
15,10,13,37.138,262.467,-87.604,-125.130
16,11,12,42.246,261.534,-86.093,-167.945
17,12,13,3.257,310.378,-98.961,-21.384
18,12,14,32.559,238.360,-87.982,15.002
19,12,27,19.810,309.759,-93.989,-85.614
20,13,14,19.343,361.388,-94.920,-79.588
21,13,15,47.386,223.437,-82.503,43.959
22,13,22,2.177,290.755,-99.257,6.392
23,13,24,34.560,301.878,-89.728,-38.174
24,14,15,18.742,297.516,-94.074,-33.751
25,14,16,35.481,216.686,-85.930,12.654
26,14,27,28.239,236.788,-89.345,-47.075
27,14,34,16.385,309.692,-94.975,-101.288
28,15,16,27.368,262.067,-90.544,78.505
29,15,22,45.428,253.787,-84.818,144.690
30,16,31,28.845,224.756,-88.626,33.397
31,16,34,27.247,257.859,-90.443,-54.901
32,17,18,27.552,422.966,-93.884,-50.724
33,17,25,26.876,334.864,-92.570,24.126
34,17,29,26.133,405.324,-93.943,158.300
35,18,26,24.767,282.743,-91.946,-153.335
36,19,41,59.355,296.820,-83.336,89.248
37,20,21,41.584,262.311,-86.316,-80.578
38,22,23,42.614,584.093,-93.200,-48.573
39,22,24,22.070,250.336,-91.898,-117.431
40,23,24,51.633,591.110,-91.967,169.822
41,25,28,34.839,175.731,-83.455,24.330
42,26,27,37.066,264.380,-87.704,-1.847
43,27,34,27.071,294.939,-91.593,-151.531
44,27,35,5.117,271.446,-98.150,86.441
45,28,36,37.415,242.927,-86.654,34.358
46,29,30,26.113,289.049,-91.714,160.087
47,31,34,12.333,228.408,-94.877,168.170
48,31,37,44.184,294.203,-86.943,-78.109
49,32,41,26.889,242.946,-90.035,-13.834
50,33,38,36.488,277.122,-88.365,-130.553
51,34,35,23.949,238.806,-90.885,134.290
52,34,37,26.335,278.117,-91.350,-110.723
53,35,36,50.309,259.135,-83.742,144.931
54,35,37,45.074,358.968,-88.844,-172.276
55,38,39,29.152,222.931,-88.435,-79.375
56,39,40,14.824,197.964,-93.034,-31.600
